㤎	見開一歌平
㤏	定一冬平
㤒	見開一豪平
㤕	徹合三真入
㤕	知合三真入
㤜	曉合三A真入
㤝	昌三東平
㤞	定開一唐入
㤠	來開三仙入
㤤	以合三虞上
㤤	以合三虞平
㤥	匣開一咍去
㤨	見三C鍾上
㤩	溪開一唐入
㤮	云合三C陽去
㤮	見合三C陽去
㤱	滂三C尤上
㤱	滂三C尤去
㤲	溪開四添入
㤴	徹開三鹽入
㤴	昌開三鹽入
㤸	曉開四青入
㤻	來合一魂上
㤾	心開一覃去
㤿	影開三A鹽平
㤿	影開三C嚴去
㥁	端開一登入
㥂	透開一登入
㥄	來開三蒸平
㥆	透合一灰去
㥆	透合一魂入
㥈	定開四添入
㥊	並二耕平
㥋	影開三C微上
㥋	影開三C微平
㥌	見三C東入
㥏	透開四先上
㥒	清開一咍上
㥓	溪開三B支上
㥓	溪開三B支平
㥚	以合三虞上
㥚	以合三虞平
㥛	見開三C蒸入
㥜	云合三C微去
㥝	明三A支上
㥟	匣開二佳平
㥠	心開三魚上
㥠	心開三魚平
㥢	從三尤平
㥦	溪開四添入
㥨	常合三支上
㥮	初開二肴上
㥯	影開三C殷上
㥯	影開三C殷去
㥴	以開三支上
㥴	以開三支平
㥶	心開一登入
㥷	影開四齊去
㥽	初開二耕入
㥾	孃開三真入
㥾	孃開三蒸入
㥾	透開一登入
㦁	來開三仙平
㦃	初合二山上
㦃	初開二山上
㦃	生開二山上
㦄	明二麻平
㦅	定開四先入
㦌	曉合一魂入
㦎	曉合二耕入
㦒	來開四齊平
㦓	匣開四先上
㦗	見開三B侵平
㦚	幫三A仙上
㦛	以開三魚上
㦛	以開三魚平
㦜	匣合一唐入
㦝	明二江入
㦟	明二皆平
㦣	云合三B祭去
㦣	疑開三A祭去
㦣	精開三祭去
㦦	曉開四青入
㦬	來開一歌上
㦰	精開三鹽平
㦴	見開二庚入
㦵	知合三虞平
㦺	日三鍾入
㦼	生二江去
㦿	溪開二咸上
㧀	羣開三B侵入
㧁	匣開一談入
㧁	溪開一覃入
㧁	溪開三C魚去
㧁	見開一覃入
㧄	溪開三C嚴上
㧆	見開三C殷去
㧉	見開一咍去
㧊	滂一寒入
㧒	云合三B真入
㧒	云合三C文入
㧓	見合二麻平
㧔	見合二皆去
㧖	影開二耕入
㧗	精開三支上
㧗	精開四齊上
㧗	莊開三支上
㧘	崇開二佳平
㧘	從開三支去
㧘	羣開三B支去
㧡	匣開一咍上
㧢	影開三A真平
㧦	曉合四先去
㧬	見三C鍾上
㧲	心開一覃上
㧳	見開二山入
㧴	疑開一歌上
㧶	溪開二耕平
㧹	透開一登入
㧺	定開一覃入
㧻	知二江入
㧾	溪合一魂入
㨁	常開三蒸入
㨁	澄開三之去
㨃	端合一灰上
㨅	孃合三支去
㨉	明三B真平
㨊	以合三脂上
㨋	昌開三麻上
㨍	幫一唐平
㨎	日合三仙入
㨏	透開一寒平
㨐	幫一侯上
㨒	溪合四齊平
㨖	知開三之上
㨖	知開三支上
㨖	知開三脂上
㨖	知開三脂去
㨙	匣開二佳平
㨙	匣開四齊去
㨝	心開四先入
㨞	心一模去
㨟	匣開一咍平
㨟	見開一咍平
㨠	明四先上
㨡	匣合一魂入
㨡	匣合一魂平
㨤	溪合二皆平
㨥	泥開一覃入
㨧	並一魂上
㨨	徹三尤平
㨵	精開三仙上
㨶	端開一豪上
㨷	羣開三B真平
㨷	見開三C殷去
㨹	心合三仙入
㨹	精合三祭去
㨻	從開一談平
㨻	生開二銜上
㨼	來開三陽入
㨾	以開三陽去
㩇	匣合二耕入
㩇	曉合二耕入
㩉	來開一覃入
㩉	端開一談入
㩊	心合三仙平
㩋	心三東入
㩋	心開四蕭上
㩋	心開四蕭去
㩋	心開四蕭平
㩋	生三東入
㩒	羣開三B侵平
㩓	曉合三B支上
㩜	來開一談平
㩢	明二刪入
㩢	明四先入
㩢	明四齊去
㩤	滂三C虞平
㩧	並二江入
㩧	滂二江入
㩨	匣合四齊去
㩩	溪合三A清上
㩱	精開三陽入
㩳	心三鍾上
㩵	從開一寒入
㩵	疑開一寒入
㩹	定開四添入
㩺	並三B脂上
㩺	滂三A脂平
㩻	溪開三B支平
㩻	見合三B支去
㩼	章開三支去
㩼	章開三支平
㩽	羣開三B支平
㩾	知合三支平
㩿	溪合一魂入
㪁	溪開一覃平
㪁	溪開三C嚴去
㪁	溪開三C嚴平
㪁	羣開三B侵平
㪃	曉開一歌上
㪆	端開四齊上
㪇	心開四先去
㪉	見開一覃入
㪋	匣開一寒去
㪋	曉開一歌上
㪌	心一東上
㪍	並一魂入
㪏	幫四齊上
㪏	幫四齊去
㪐	來合一魂入
㪑	影開三C嚴入
㪒	疑開四齊上
㪒	疑開四齊平
㪖	來一東入
㪖	來三鍾入
㪙	溪合一歌去
㪜	初合三支上
㪜	昌合三仙上
㪜	端合一歌上
㪝	來開四先去
㪡	溪開一泰去
㪤	幫三A真入
㪥	莊開二麻平
㪩	心三東入
㪪	心開一談入
㪬	徹二江入
㪬	澄二江入
㪭	來一模平
㪵	幫一寒去
㪷	端一侯上
㪹	來一侯上
㪺	見合三C虞平
㪻	滂三C元去
㪾	見開二庚入
㫂	章開三魚去
㫃	影開三B仙上
