欱酒	曉覃入 精尤上
歡樂	曉合寒平 來開唐入
正在	章開清去 從咍上
正好	章開清去 曉豪上
正月	章開清平 疑合元入
正朔	章開清平 生江入
此處	清開支上 昌魚去
步數	並模去 生虞去
步行	並模去 匣開二庚平
殺降	生開山入 匣江平
殿後	端開先去 匣侯上
殿軍	端開先去 見文平
母校	明侯上 匣肴去
比鄰	並A脂去 來開眞平
氣相	溪開微去 心開陽去
汶川	明B眞平 昌合仙平
決斷	見合先入 端合寒去
汽車	溪開微去 昌開三麻平
沮渠	精魚平 羣魚平
注疏	章虞去 生魚去
注重	章虞去 澄鍾上
洋行	以開陽平 匣開唐平
洪洞	匣一東平 定一東平
海相	曉咍上 心開陽去
液相	以開清入 心開陽去
清朝	清開清平 澄宵平
清華	清開清平 匣合二麻平
測量	初開蒸入 來開陽平
湯湯	書開陽平 書開陽平
滑稽	見魂入 見開齊平
漢朝	曉開寒去 澄宵平
漢藏	曉開寒去 從開唐去
澹臺	定談平 定咍平
濟南	精開齊上 泥覃平
濟寧	精開齊上 泥開青平
濟水	精開齊上 書合脂上
火圈	曉合一歌上 溪合B仙平
火車	曉合一歌上 昌開三麻平
無射	明虞平 以開清入
照相	章宵去 心開陽去
燕京	影開先平 見開三庚平
燕國	影開先平 見合登入
燕子	影開先去 精之上
燕山	影開先平 生開山平
燕王	影開先平 云合陽平
燕郊	影開先平 見肴平
爲主	云合支平 章虞上
爲了	云合支去 來蕭上
爲何	云合支去 匣開一歌平
爲此	云合支去 清開支上
爲難	云合支平 泥開寒平
爲首	云合支平 書尤上
牛蒡	疑尤平 幫唐上
物種	明文入 章鍾上
犒勞	溪豪去 來豪去
狋氏	羣合B仙平 精開清平
理論	來之上 來魂去
番号	滂元平 匣豪去
番禺	滂寒平 疑虞平
當作	端開唐平 精開唐入
當值	端開唐平 澄之去
當舖	端開唐去 滂模去
當行	端開唐去 匣開唐平
當鋪	端開唐去 滂模去
白種	並二庚入 章鍾上
皇上	匣合唐平 常開陽去
監利	見銜去 來開脂去
直下	澄開蒸入 匣開二麻去
相互	心開陽平 匣模去
相伴	心開陽平 並寒上
相似	心開陽平 邪之上
相位	心開陽去 云合脂去
相傳	心開陽平 澄合仙平
相公	心開陽去 見一東平
相冊	心開陽去 初開耕入
相同	心開陽平 定一東平
相國	心開陽去 見合登入
相城	心開陽去 常開清平
相左	心開陽平 精開一歌上
相府	心開陽去 幫虞上
相悖	心開陽平 並灰去
相應	心開陽平 影開蒸去
相撲	心開陽平 滂一東入
相框	心開陽去 溪合陽平
相機	心開陽去 見開微平
相比	心開陽平 幫A脂上
相父	心開陽去 並虞上
相爺	心開陽去 以開三麻平
相片	心開陽去 滂先去
相符	心開陽平 並虞平
相簿	心開陽去 並模上
相紙	心開陽去 章開支上
相處	心開陽平 昌魚上
相親	心開陽平 清開眞平
相變	心開陽去 幫B仙去
相貌	心開陽去 明肴去
相通	心開陽平 透一東平
相逢	心開陽平 並鍾平
相鄰	心開陽平 來開眞平
相間	心開陽平 見開山去
相面	心開陽去 明A仙去
相類	心開陽平 來合脂去
相鼠	心開陽去 書魚上
省略	生開三庚上 來開陽入
看守	溪開寒平 書尤上
看家	溪開寒平 見開二麻平
眞相	章開眞平 心開陽去
着裝	知開陽入 莊開陽平
睡覺	常合支去 見肴去
祁山	羣開A脂平 生開山平
票價	滂A宵去 見開二麻去
票錢	滂A宵去 從開仙平
秋請	清尤平 從開清去
秦朝	從開眞平 澄宵平
種姓	章鍾上 心開清去
種子	章鍾上 精之上
種族	章鍾上 從一東入
種植	章鍾去 常開蒸入
種樹	章鍾去 常虞去
種田	章鍾去 定開先平
種豬	章鍾上 知魚平
種馬	章鍾上 明二麻上
