㐖毒	匣開四先入 定一冬入
主權	章合三虞上 羣合三B仙平
主次	章合三虞上 清開三脂去
主流	章合三虞上 來三尤平
主演	章合三虞上 以開三仙上
主犯	章合三虞上 並三C凡上
主球	章合三虞上 羣三C尤平
主環	章合三虞上 匣合二刪平
主管	章合三虞上 見合一寒上
主線	章合三虞上 心開三仙去
主罰	章合三虞上 並三C元入
主義	章合三虞上 疑開三B支去
主菜	章合三虞上 清開一咍去
主計	章合三虞上 見開四齊去
主詞	章合三虞上 邪開三之平
主講	章合三虞上 見二江上
主軸	章合三虞上 澄三東入
主辦	章合三虞上 並二山去
主銷	章合三虞上 心開三宵平
主隊	章合三虞上 定合一灰去
主音	章合三虞上 影開三B侵平
主顧	章合三虞上 見一模去
主體	章合三虞上 透開四齊上
主麻	章合三虞上 明二麻平
乃是	泥開一咍上 常開三支上
乃東	泥開一咍上 端一東平
乃爾	泥開一咍上 日開三支上
乃至	泥開一咍上 章開三脂去
久久	見三C尤上 見三C尤上
久之	見三C尤上 章開三之平
久保	見三C尤上 幫一豪上
久別	見三C尤上 並三B仙入
久慕	見三C尤上 明一模去
久曠	見三C尤上 溪合一唐去
久病	見三C尤上 並三B庚去
久等	見三C尤上 端開一登上
久違	見三C尤上 云合三C微平
久闊	見三C尤上 溪合一寒入
久陪	見三C尤上 並一灰平
之一	章開三之平 影開三A真入
之前	章開三之平 從開四先平
之外	章開三之平 疑合一泰去
之至	章開三之平 章開三脂去
之間	章開三之平 見開二山去
之際	章開三之平 精開三祭去
之類	章開三之平 來合三脂去
乍得	崇開二麻去 端開一登入
乍浦	崇開二麻去 滂一模上
乍現	崇開二麻去 匣開四先去
乏力	並三C凡入 來開三蒸入
乏味	並三C凡入 明三C微去
乖忤	見合二皆平 疑一模去
乖謬	見合二皆平 明三B幽去
乖迕	見合二皆平 疑一模去
乖順	見合二皆平 船合三真去
乙丑	影開三B真入 徹三尤上
乙亥	影開三B真入 匣開一咍上
乙卯	影開三B真入 明二肴上
乙型	影開三B真入 匣開四青平
乙基	影開三B真入 見開三C之平
乙太	影開三B真入 透開一泰去
乙巳	影開三B真入 邪開三之上
乙未	影開三B真入 明三C微去
乙炔	影開三B真入 見合四齊去
乙肝	影開三B真入 見開一寒平
乙腦	影開三B真入 泥開一豪上
乙酉	影開三B真入 以三尤上
乙酸	影開三B真入 心合一寒平
乙醇	影開三B真入 常合三真平
九份	見三C尤上 幫三B真平
九十	見三C尤上 常開三侵入
九卿	見三C尤上 溪開三B庚平
九天	見三C尤上 透開四先平
九孔	見三C尤上 溪一東上
九州	見三C尤上 章三尤平
九巴	見三C尤上 幫二麻平
九成	見三C尤上 常開三清平
九月	見三C尤上 疑合三C元入
九歸	見三C尤上 見合三C微平
九江	見三C尤上 見二江平
九泉	見三C尤上 從合三仙平
九流	見三C尤上 來三尤平
九淵	見三C尤上 影合四先平
九竅	見三C尤上 溪開四蕭去
九里	見三C尤上 來開三之上
九鼎	見三C尤上 端開四青上
九龍	見三C尤上 來三鍾平
乞丐	溪開三C殷入 見開一泰去
乞人	溪開三C殷入 日開三真平
乞休	溪開三C殷入 曉三C尤平
乞恕	溪開三C殷入 書開三魚去
乞憐	溪開三C殷入 來開四先平
乞求	溪開三C殷入 羣三C尤平
乞討	溪開三C殷入 透開一豪上
乞貸	溪開三C殷入 透開一咍去
也許	以開三麻上 曉開三C魚上
也門	以開三麻上 明一魂平
乳交	日合三虞上 見開二肴平
乳化	日合三虞上 曉合二麻去
乳名	日合三虞上 明三A清平
乳品	日合三虞上 滂三B侵上
乳山	日合三虞上 生開二山平
乳暈	日合三虞上 云合三C文去
乳母	日合三虞上 明一侯上
乳汁	日合三虞上 章開三侵入
乳液	日合三虞上 以開三清入
乳溝	日合三虞上 見一侯平
乳漿	日合三虞上 精開三陽平
乳牙	日合三虞上 疑開二麻平
乳牛	日合三虞上 疑三C尤平
乳白	日合三虞上 並二庚入
乳突	日合三虞上 定合一魂入
乳糖	日合三虞上 定開一唐平
乳罩	日合三虞上 知開二肴去
乳脂	日合三虞上 章開三脂平
乳腐	日合三虞上 並三C虞上
乳草	日合三虞上 清開一豪上
乳豬	日合三虞上 知開三魚平
乳酪	日合三虞上 來開一唐入
乳酸	日合三虞上 心合一寒平
乳頭	日合三虞上 定一侯平
乳香	日合三虞上 曉開三C陽平
乳齒	日合三虞上 昌開三之上
亂來	來合一寒去 來開一咍平
亂倫	來合一寒去 來合三真平
亂動	來合一寒去 定一東上
亂叫	來合一寒去 見開四蕭去
亂吃	來合一寒去 見開三C殷入
亂寫	來合一寒去 心開三麻上
亂局	來合一寒去 羣三C鍾入
亂政	來合一寒去 章開三清去
亂民	來合一寒去 明三A真平
亂石	來合一寒去 常開三清入
亂碼	來合一寒去 明二麻上
亂竄	來合一寒去 清合一寒去
亂紀	來合一寒去 見開三C之上
亂花	來合一寒去 曉合二麻平
亂講	來合一寒去 見二江上
亂象	來合一寒去 邪開三陽上
亂跑	來合一寒去 滂二肴上
亂跳	來合一寒去 定開四蕭平
亂道	來合一寒去 定開一豪上
亂麻	來合一寒去 明二麻平
亂黨	來合一寒去 端開一唐上
了了	來開四蕭上 來開四蕭上
了卻	來開四蕭上 溪開三C陽入
了局	來開四蕭上 羣三C鍾入
了得	來開四蕭上 端開一登入
了然	來開四蕭上 日開三仙平
了結	來開四蕭上 見開四先入
二代	日開三脂去 定開一咍去
二來	日開三脂去 來開一咍平
二側	日開三脂去 莊開三蒸入
二價	日開三脂去 見開二麻去
二元	日開三脂去 疑合三C元平
二八	日開三脂去 幫二山入
二十	日開三脂去 常開三侵入
二哈	日開三脂去 疑開一覃入
二哥	日開三脂去 見開一歌平
二婚	日開三脂去 曉合一魂平
二寶	日開三脂去 幫一豪上
二心	日開三脂去 心開三侵平
二戰	日開三脂去 章開三仙去
二房	日開三脂去 並三C陽平
二手	日開三脂去 書三尤上
二指	日開三脂去 章開三脂上
二月	日開三脂去 疑合三C元入
二林	日開三脂去 來開三侵平
二次	日開三脂去 清開三脂去
二水	日開三脂去 書合三脂上
二流	日開三脂去 來三尤平
二甲	日開三脂去 見開二銜入
二等	日開三脂去 端開一登上
二簡	日開三脂去 見開二山上
二簧	日開三脂去 匣合一唐平
二糖	日開三脂去 定開一唐平
二級	日開三脂去 見開三B侵入
二維	日開三脂去 以合三脂平
二老	日開三脂去 來開一豪上
二者	日開三脂去 章開三麻上
二聲	日開三脂去 書開三清平
二胎	日開三脂去 透開一咍平
二胡	日開三脂去 匣一模平
二話	日開三脂去 匣合二夬去
二貨	日開三脂去 曉合一歌去
二輪	日開三脂去 來合三真平
二連	日開三脂去 來開三仙平
二進	日開三脂去 精開三真去
二逼	日開三脂去 幫三B蒸入
二道	日開三脂去 定開一豪上
二郎	日開三脂去 來開一唐平
二醇	日開三脂去 常合三真平
二階	日開三脂去 見開二皆平
二黃	日開三脂去 匣合一唐平
于丹	云合三C虞平 端開一寒平
于歸	云合三C虞平 見合三C微平
于洪	云合三C虞平 匣一東平
云云	云合三C文平 云合三C文平
云城	云合三C文平 常開三清平
互信	匣一模去 心開三真去
互利	匣一模去 來開三脂去
互助	匣一模去 崇開三魚去
互勉	匣一模去 明三B仙上
互動	匣一模去 定一東上
互惠	匣一模去 匣合四齊去
互換	匣一模去 匣合一寒去
互文	匣一模去 明三C文平
互斥	匣一模去 昌開三清入
互生	匣一模去 生開三庚平
互異	匣一模去 以開三之去
互粉	匣一模去 幫三C文上
互素	匣一模去 心一模去
互補	匣一模去 幫一模上
互訪	匣一模去 滂三C陽去
互譯	匣一模去 以開三清入
互通	匣一模去 透一東平
互連	匣一模去 來開三仙平
五一	疑一模上 影開三A真入
五七	疑一模上 清開三真入
五五	疑一模上 疑一模上
五代	疑一模上 定開一咍去
五倫	疑一模上 來合三真平
五刑	疑一模上 匣開四青平
五加	疑一模上 見開二麻平
五十	疑一模上 常開三侵入
五原	疑一模上 疑合三C元平
五味	疑一模上 明三C微去
五四	疑一模上 心開三脂去
五官	疑一模上 見合一寒平
五嶺	疑一模上 來開三清上
五嶽	疑一模上 疑二江入
五帝	疑一模上 端開四齊去
五常	疑一模上 常開三陽平
五形	疑一模上 匣開四青平
五彩	疑一模上 清開一咍上
五星	疑一模上 心開四青平
五月	疑一模上 疑合三C元入
五河	疑一模上 匣開一歌平
五洲	疑一模上 章三尤平
五濁	疑一模上 澄二江入
五營	疑一模上 以合三清平
五環	疑一模上 匣合二刪平
五穀	疑一模上 見一東入
五筆	疑一模上 幫三B真入
五結	疑一模上 見開四先入
五股	疑一模上 見一模上
五胡	疑一模上 匣一模平
五臺	疑一模上 定開一咍平
五色	疑一模上 生開三蒸入
五葷	疑一模上 曉合三C文平
五蘊	疑一模上 影合三C文平
五辛	疑一模上 心開三真平
五通	疑一模上 透一東平
五金	疑一模上 見開三B侵平
五霸	疑一模上 幫二麻去
五音	疑一模上 影開三B侵平
五香	疑一模上 曉開三C陽平
五鬼	疑一模上 見合三C微上
井井	精開三清上 精開三清上
井口	精開三清上 溪一侯上
井然	精開三清上 日開三仙平
井田	精開三清上 定開四先平
井研	精開三清上 疑開四先去
井陘	精開三清上 匣開四青平
亞伯	影開二麻去 幫二庚入
亞倫	影開二麻去 來合三真平
亞哈	影開二麻去 疑開一覃入
亞型	影開二麻去 匣開四青平
亞太	影開二麻去 透開一泰去
亞庇	影開二麻去 幫三A脂去
亞所	影開二麻去 生開三魚上
亞東	影開二麻去 端一東平
亞洲	影開二麻去 章三尤平
亞琛	影開二麻去 徹開三侵平
亞瑟	影開二麻去 生開三臻入
亞界	影開二麻去 見開二皆去
亞目	影開二麻去 明三C東入
亞綱	影開二麻去 見開一唐平
亞聖	影開二麻去 書開三清去
亞蘭	影開二麻去 來開一寒平
亞裔	影開二麻去 以開三祭去
亞軍	影開二麻去 見合三C文平
亞運	影開二麻去 云合三C文去
亞金	影開二麻去 見開三B侵平
亞鐵	影開二麻去 透開四先入
亞門	影開二麻去 明一魂平
亞類	影開二麻去 來合三脂去
亞麻	影開二麻去 明二麻平
亟待	見開三C蒸入 定開一咍上
亡佚	明三C陽平 以開三真入
亡八	明三C陽平 幫二山入
亡命	明三C陽平 明三B庚去
亡國	明三C陽平 見合一登入
亡故	明三C陽平 見一模去
亡母	明三C陽平 明一侯上
亡者	明三C陽平 章開三麻上
亡靈	明三C陽平 來開四青平
交九	見開二肴平 見三C尤上
交互	見開二肴平 匣一模去
交付	見開二肴平 幫三C虞去
交代	見開二肴平 定開一咍去
交保	見開二肴平 幫一豪上
交兵	見開二肴平 幫三B庚平
交割	見開二肴平 見開一寒入
交加	見開二肴平 見開二麻平
交卸	見開二肴平 心開三麻去
交友	見開二肴平 云三C尤上
交口	見開二肴平 溪一侯上
交困	見開二肴平 溪合一魂去
交城	見開二肴平 常開三清平
交媾	見開二肴平 見一侯去
交安	見開二肴平 影開一寒平
交尾	見開二肴平 明三C微上
交帳	見開二肴平 知開三陽去
交底	見開二肴平 端開四齊上
交往	見開二肴平 云合三C陽上
交待	見開二肴平 定開一咍上
交情	見開二肴平 從開三清平
交戰	見開二肴平 章開三仙去
交手	見開二肴平 書三尤上
交拜	見開二肴平 幫二皆去
交接	見開二肴平 精開三鹽入
交換	見開二肴平 匣合一寒去
交易	見開二肴平 以開三清入
交替	見開二肴平 透開四齊去
交會	見開二肴平 匣合一泰去
交歡	見開二肴平 曉合一寒平
交流	見開二肴平 來三尤平
交火	見開二肴平 曉合一歌上
交班	見開二肴平 幫二刪平
交界	見開二肴平 見開二皆去
交睫	見開二肴平 精開三鹽入
交管	見開二肴平 見合一寒上
交納	見開二肴平 泥開一覃入
交結	見開二肴平 見開四先入
交給	見開二肴平 見開三B侵入
交臂	見開二肴平 幫三A支去
交融	見開二肴平 以三東平
交角	見開二肴平 見二江入
交誼	見開二肴平 疑開三B支去
交談	見開二肴平 定開一談平
交警	見開二肴平 見開三B庚上
交變	見開二肴平 幫三B仙去
交貨	見開二肴平 曉合一歌去
交趾	見開二肴平 章開三之上
交辦	見開二肴平 並二山去
交迫	見開二肴平 幫二庚入
交通	見開二肴平 透一東平
交遊	見開二肴平 以三尤平
交運	見開二肴平 云合三C文去
交配	見開二肴平 滂一灰去
交鋒	見開二肴平 滂三C鍾平
交錢	見開二肴平 從開三仙平
交際	見開二肴平 精開三祭去
交集	見開二肴平 從開三侵入
交響	見開二肴平 曉開三C陽上
交馳	見開二肴平 澄開三支平
交骨	見開二肴平 見合一魂入
交點	見開二肴平 端開四添上
亥時	匣開一咍上 常開三之平
亥豬	匣開一咍上 知開三魚平
亦即	以開三清入 精開三蒸入
亦或	以開三清入 匣合一登入
亦莊	以開三清入 莊開三陽平
京兆	見開三B庚平 澄開三宵上
京劇	見開三B庚平 羣開三B庚入
京口	見開三B庚平 溪一侯上
京味	見開三B庚平 明三C微去
京哈	見開三B庚平 疑開一覃入
京城	見開三B庚平 常開三清平
京報	見開三B庚平 幫一豪去
京山	見開三B庚平 生開二山平
京師	見開三B庚平 生開三脂平
京廣	見開三B庚平 見合一唐上
京族	見開三B庚平 從一東入
京津	見開三B庚平 精開三真平
京滬	見開三B庚平 匣一模上
京畿	見開三B庚平 羣開三C微平
京胡	見開三B庚平 匣一模平
京郊	見開三B庚平 見開二肴平
京都	見開三B庚平 端一模平
亭午	定開四青平 疑一模上
亭子	定開四青平 精開三之上
亭湖	定開四青平 匣一模平
亭臺	定開四青平 定開一咍平
亭閣	定開四青平 見開一唐入
亮光	來開三陽去 見合一唐平
亮堂	來開三陽去 定開一唐平
亮度	來開三陽去 定一模去
亮彩	來開三陽去 清開一咍上
亮星	來開三陽去 心開四青平
亮相	來開三陽去 心開三陽去
亮菌	來開三陽去 羣合三B真上
亮藍	來開三陽去 來開一談平
亮飾	來開三陽去 書開三蒸入
亮點	來開三陽去 端開四添上
亳州	並一唐入 章三尤平
人中	日開三真平 知三東平
人人	日開三真平 日開三真平
人保	日開三真平 幫一豪上
人傑	日開三真平 羣開三B仙入
人兒	日開三真平 日開三支平
人力	日開三真平 來開三蒸入
人勢	日開三真平 書開三祭去
人叢	日開三真平 從一東平
人口	日開三真平 溪一侯上
人名	日開三真平 明三A清平
人命	日開三真平 明三B庚去
人品	日開三真平 滂三B侵上
人員	日開三真平 云合三C文平
人均	日開三真平 見合三A真平
人士	日開三真平 崇開三之上
人妖	日開三真平 影開三B宵平
人子	日開三真平 精開三之上
人家	日開三真平 見開二麻平
人工	日開三真平 見一東平
人形	日開三真平 匣開四青平
人心	日開三真平 心開三侵平
人性	日開三真平 心開三清去
人情	日開三真平 從開三清平
人意	日開三真平 影開三C之去
人手	日開三真平 書三尤上
人才	日開三真平 從開一咍平
人文	日開三真平 明三C文平
人族	日開三真平 從一東入
人材	日開三真平 從開一咍平
人權	日開三真平 羣合三B仙平
人次	日開三真平 清開三脂去
人武	日開三真平 明三C虞上
人民	日開三真平 明三A真平
人氣	日開三真平 溪開三C微去
人流	日開三真平 來三尤平
人海	日開三真平 曉開一咍上
人渣	日開三真平 莊開二麻平
人潮	日開三真平 澄開三宵平
人為	日開三真平 云合三B支平
人煙	日開三真平 影開四先平
人牆	日開三真平 從開三陽平
人物	日開三真平 明三C文入
人犯	日開三真平 並三C凡上
人猿	日開三真平 云合三C元平
人生	日開三真平 生開三庚平
人禍	日開三真平 匣合一歌上
人精	日開三真平 精開三清平
人緣	日開三真平 以合三仙平
人肉	日開三真平 日三東入
人臣	日開三真平 常開三真平
人設	日開三真平 書開三仙入
人證	日開三真平 章開三蒸去
人資	日開三真平 精開三脂平
人身	日開三真平 書開三真平
人道	日開三真平 定開一豪上
