㐖毒	匣開四先入 定一冬入
靈感	來開四青平 見開一覃上
靈敏	來開四青平 明三B真上
靈柩	來開四青平 羣三C尤去
靈棺	來開四青平 見合一寒平
靈機	來開四青平 見開三C微平
靈武	來開四青平 明三C虞上
靈渠	來開四青平 羣開三C魚平
靈犀	來開四青平 心開四齊平
靈璧	來開四青平 幫三A清入
靈界	來開四青平 見開二皆去
靈異	來開四青平 以開三之去
靈石	來開四青平 常開三清入
靈符	來開四青平 並三C虞平
靈芝	來開四青平 章開三之平
靈藥	來開四青平 以開三陽入
靈通	來開四青平 透一東平
靈驗	來開四青平 疑開三B鹽去
靈體	來開四青平 透開四齊上
靖亂	從開三清上 來合一寒去
靖宇	從開三清上 云合三C虞上
靖安	從開三清上 影開一寒平
靖州	從開三清上 章三尤平
靖江	從開三清上 見二江平
靖西	從開三清上 心開四齊平
靖邊	從開三清上 幫四先平
靚妝	從開三清去 莊開三陽平
靚妹	從開三清去 明一灰去
靜修	從開三清上 心三尤平
靜寂	從開三清上 從開四青入
靜寧	從開三清上 泥開四青平
靜山	從開三清上 生開二山平
靜心	從開三清上 心開三侵平
靜恬	從開三清上 定開四添平
靜態	從開三清上 透開一咍去
靜止	從開三清上 章開三之上
靜海	從開三清上 曉開一咍上
靜謐	從開三清上 明三A真入
靜電	從開三清上 定開四先去
靜音	從開三清上 影開三B侵平
靜默	從開三清上 明一登入
靜點	從開三清上 端開四添上
非人	幫三C微平 日開三真平
非份	幫三C微平 幫三B真平
非典	幫三C微平 端開四先上
非凡	幫三C微平 並三C凡平
非命	幫三C微平 明三B庚去
非常	幫三C微平 常開三陽平
非得	幫三C微平 端開一登入
非斯	幫三C微平 心開三支平
非核	幫三C微平 匣開二耕入
非法	幫三C微平 幫三C凡入
非洲	幫三C微平 章三尤平
非特	幫三C微平 定開一登入
非獨	幫三C微平 定一東入
非禮	幫三C微平 來開四齊上
非裔	幫三C微平 以開三祭去
非議	幫三C微平 疑開三B支去
非音	幫三C微平 影開三B侵平
非黨	幫三C微平 端開一唐上
靠北	溪開一豪去 幫一登入
靠山	溪開一豪去 生開二山平
靠岸	溪開一豪去 疑開一寒去
靠攏	溪開一豪去 來一東上
靠盃	溪開一豪去 幫一灰平
靠腰	溪開一豪去 影開三A宵平
靠譜	溪開一豪去 幫一模上
靠邊	溪開一豪去 幫四先平
靡爛	明三B支上 來開一寒去
面交	明三A仙去 見開二肴平
面值	明三A仙去 澄開三之去
面兒	明三A仙去 日開三支平
面具	明三A仙去 羣合三C虞去
面前	明三A仙去 從開四先平
面友	明三A仙去 云三C尤上
面型	明三A仙去 匣開四青平
面壁	明三A仙去 幫四青入
面子	明三A仙去 精開三之上
面孔	明三A仙去 溪一東上
面容	明三A仙去 以三鍾平
面對	明三A仙去 端合一灰去
面巾	明三A仙去 見開三B真平
面市	明三A仙去 常開三之上
面帶	明三A仙去 端開一泰去
面形	明三A仙去 匣開四青平
面影	明三A仙去 影開三B庚上
面態	明三A仙去 透開一咍去
面授	明三A仙去 常三尤去
面敘	明三A仙去 邪開三魚上
面斥	明三A仙去 昌開三清入
面晤	明三A仙去 疑一模去
面板	明三A仙去 幫二刪上
面熟	明三A仙去 常三東入
面瓜	明三A仙去 見合二麻平
面皮	明三A仙去 並三B支平
面目	明三A仙去 明三C東入
面紗	明三A仙去 生開二麻平
面罄	明三A仙去 溪開四青去
面罩	明三A仙去 知開二肴去
面肥	明三A仙去 並三C微平
面色	明三A仙去 生開三蒸入
面試	明三A仙去 書開三之去
面談	明三A仙去 定開一談平
面諛	明三A仙去 以合三虞平
面諭	明三A仙去 以合三虞去
面謝	明三A仙去 邪開三麻去
面議	明三A仙去 疑開三B支去
面貌	明三A仙去 明二肴去
面鏡	明三A仙去 見開三B庚去
面霜	明三A仙去 生開三陽平
面面	明三A仙去 明三A仙去
面頰	明三A仙去 見開四添入
面額	明三A仙去 疑開二庚入
面顏	明三A仙去 疑開二刪平
靦腆	透開四先上 透開四先上
革吉	見開二耕入 見開三A真入
革命	見開二耕入 明三B庚去
革囊	見開二耕入 泥開一唐平
革履	見開二耕入 來開三脂上
革新	見開二耕入 心開三真平
革職	見開二耕入 章開三蒸入
革退	見開二耕入 透合一灰去
靴子	曉合三C歌平 精開三之上
靶場	幫二麻去 澄開三陽平
靶子	幫二麻去 精開三之上
靶心	幫二麻去 心開三侵平
靶機	幫二麻去 見開三C微平
靶紙	幫二麻去 章開三支上
靶船	幫二麻去 船合三仙平
鞅掌	影開三C陽上 章開三陽上
鞅牛	影開三C陽上 疑三C尤平
鞏固	見三C鍾上 見一模去
鞏義	見三C鍾上 疑開三B支去
鞦韆	清三尤平 清開三仙平
鞭子	幫三A仙平 精開三之上
鞭撻	幫三A仙平 透開一寒入
鞭毛	幫三A仙平 明一豪平
鞭炮	幫三A仙平 滂二肴去
鞭痕	幫三A仙平 匣開一痕平
鞭笞	幫三A仙平 徹開三之平
鞭策	幫三A仙平 初開二耕入
鞭節	幫三A仙平 精開四先入
韁繩	見開三C陽平 船開三蒸平
韋伯	云合三C微平 幫二庚入
韋利	云合三C微平 來開三脂去
韋德	云合三C微平 端開一登入
韋科	云合三C微平 溪合一歌平
韌勁	日開三真去 見開三A清去
韌帶	日開三真去 端開一泰去
韌性	日開三真去 心開三清去
韌體	日開三真去 透開四齊上
韓亞	匣開一寒平 影開二麻去
韓信	匣開一寒平 心開三真去
韓元	匣開一寒平 疑合三C元平
韓國	匣開一寒平 見合一登入
韓圓	匣開一寒平 云合三B仙平
韓城	匣開一寒平 常開三清平
韓媒	匣開一寒平 明一灰平
韓寒	匣開一寒平 匣開一寒平
韓愈	匣開一寒平 以合三虞上
韓戰	匣開一寒平 章開三仙去
韓文	匣開一寒平 明三C文平
韓日	匣開一寒平 日開三真入
韓服	匣開一寒平 並三C東入
韓江	匣開一寒平 見二江平
韓流	匣開一寒平 來三尤平
韓美	匣開一寒平 明三B脂上
韓非	匣開一寒平 幫三C微平
韜略	透開一豪平 來開三陽入
韭菜	見三C尤上 清開一咍去
音位	影開三B侵平 云合三B脂去
音信	影開三B侵平 心開三真去
音值	影開三B侵平 澄開三之去
音像	影開三B侵平 邪開三陽上
音名	影開三B侵平 明三A清平
音域	影開三B侵平 云合三B蒸入
音容	影開三B侵平 以三鍾平
音帶	影開三B侵平 端開一泰去
音律	影開三B侵平 來合三真入
音拴	影開三B侵平 清合三仙平
音效	影開三B侵平 匣開二肴去
音步	影開三B侵平 並一模去
音波	影開三B侵平 幫一歌平
音痴	影開三B侵平 徹開三之平
音程	影開三B侵平 澄開三清平
音符	影開三B侵平 並三C虞平
音管	影開三B侵平 見合一寒上
音箱	影開三B侵平 心開三陽平
音節	影開三B侵平 精開四先入
音級	影開三B侵平 見開三B侵入
音素	影開三B侵平 心一模去
音義	影開三B侵平 疑開三B支去
音色	影開三B侵平 生開三蒸入
音訊	影開三B侵平 心開三真去
音譯	影開三B侵平 以開三清入
音讀	影開三B侵平 定一東入
音變	影開三B侵平 幫三B仙去
音軌	影開三B侵平 見合三B脂上
音階	影開三B侵平 見開二皆平
音韻	影開三B侵平 云合三C文去
音響	影開三B侵平 曉開三C陽上
音頻	影開三B侵平 並三A真平
韶山	常開三宵平 生開二山平
韶關	常開三宵平 見合二刪平
韻味	云合三C文去 明三C微去
韻尾	云合三C文去 明三C微上
韻律	云合三C文去 來合三真入
韻文	云合三C文去 明三C文平
韻書	云合三C文去 書開三魚平
韻母	云合三C文去 明一侯上
韻白	云合三C文去 並二庚入
韻目	云合三C文去 明三C東入
韻緻	云合三C文去 澄開三脂去
韻腳	云合三C文去 見開三C陽入
韻腹	云合三C文去 幫三C東入
韻致	云合三C文去 知開三脂去
韻詩	云合三C文去 書開三之平
韻頭	云合三C文去 定一侯平
響亮	曉開三C陽上 來開三陽去
響器	曉開三C陽上 溪開三B脂去
響應	曉開三C陽上 影開三C蒸去
響板	曉開三C陽上 幫二刪上
響水	曉開三C陽上 書合三脂上
響聲	曉開三C陽上 書開三清平
響遍	曉開三C陽上 幫四先去
響雷	曉開三C陽上 來合一灰平
響音	曉開三C陽上 影開三B侵平
響頭	曉開三C陽上 定一侯平
頂住	端開四青上 澄合三虞去
頂包	端開四青上 幫二肴平
頂多	端開四青上 端開一歌平
頂客	端開四青上 溪開二庚入
頂尖	端開四青上 精開三鹽平
頂層	端開四青上 從開一登平
頂崗	端開四青上 見開一唐平
頂戴	端開四青上 端開一咍去
頂拜	端開四青上 幫二皆去
頂擋	端開四青上 端開一唐去
頂替	端開四青上 透開四齊去
頂板	端開四青上 幫二刪上
頂架	端開四青上 見開二麻去
頂棒	端開四青上 並二江上
頂樓	端開四青上 來一侯平
頂燈	端開四青上 端開一登平
頂班	端開四青上 幫二刪平
頂用	端開四青上 以三鍾去
頂目	端開四青上 明三C東入
頂端	端開四青上 端合一寒平
頂級	端開四青上 見開三B侵入
頂缸	端開四青上 匣二江平
頂罪	端開四青上 從合一灰上
頂芽	端開四青上 疑開二麻平
頂補	端開四青上 幫一模上
頂角	端開四青上 見二江入
頂謝	端開四青上 邪開三麻去
頂讓	端開四青上 日開三陽去
頂輪	端開四青上 來合三真平
頂閥	端開四青上 並三C元入
頂面	端開四青上 明三A仙去
頂頭	端開四青上 定一侯平
頂骨	端開四青上 見合一魂入
頂點	端開四青上 端開四添上
項城	匣二江上 常開三清平
項目	匣二江上 明三C東入
項英	匣二江上 影開三B庚平
項頸	匣二江上 見開三A清上
順位	船合三真去 云合三B脂去
順利	船合三真去 來開三脂去
順勢	船合三真去 書開三祭去
順化	船合三真去 曉合二麻去
順口	船合三真去 溪一侯上
順坦	船合三真去 透開一寒上
順城	船合三真去 常開三清平
順境	船合三真去 見開三B庚上
順子	船合三真去 精開三之上
順導	船合三真去 定開一豪去
順帶	船合三真去 端開一泰去
順序	船合三真去 邪開三魚上
順式	船合三真去 書開三蒸入
順德	船合三真去 端開一登入
順心	船合三真去 心開三侵平
順意	船合三真去 影開三C之去
順慶	船合三真去 溪開三B庚去
順應	船合三真去 影開三C蒸去
順手	船合三真去 書三尤上
順敘	船合三真去 邪開三魚上
順昌	船合三真去 昌開三陽平
順暢	船合三真去 徹開三陽去
順服	船合三真去 並三C東入
順次	船合三真去 清開三脂去
順民	船合三真去 明三A真平
順水	船合三真去 書合三脂上
順溜	船合三真去 來三尤去
順潮	船合三真去 澄開三宵平
順眼	船合三真去 疑開二山上
順義	船合三真去 疑開三B支去
順耳	船合三真去 日開三之上
順訪	船合三真去 滂三C陽去
順路	船合三真去 來一模去
順遂	船合三真去 邪合三脂去
順道	船合三真去 定開一豪上
須丸	心合三虞平 匣合一寒平
須彌	心合三虞平 明三A支平
須根	心合三虞平 見開一痕平
須知	心合三虞平 知開三支平
預付	以開三魚去 幫三C虞去
預估	以開三魚去 見一模上
預備	以開三魚去 並三B脂去
預兆	以開三魚去 澄開三宵上
預卜	以開三魚去 幫一東入
預售	以開三魚去 常三尤去
預報	以開三魚去 幫一豪去
預定	以開三魚去 定開四青去
預審	以開三魚去 書開三侵上
預想	以開三魚去 心開三陽上
預感	以開三魚去 見開一覃上
預支	以開三魚去 章開三支平
預期	以開三魚去 羣開三C之平
預案	以開三魚去 影開一寒去
預測	以開三魚去 初開三蒸入
預演	以開三魚去 以開三仙上
預熱	以開三魚去 日開三仙入
預知	以開三魚去 知開三支平
預科	以開三魚去 溪合一歌平
預算	以開三魚去 心合一寒上
預習	以開三魚去 邪開三侵入
預裝	以開三魚去 莊開三陽平
預製	以開三魚去 章開三祭去
預覽	以開三魚去 來開一談上
預言	以開三魚去 疑開三C元平
預訂	以開三魚去 端開四青去
預計	以開三魚去 見開四齊去
預設	以開三魚去 書開三仙入
預試	以開三魚去 書開三之去
預謀	以開三魚去 明三C尤平
預警	以開三魚去 見開三B庚上
預購	以開三魚去 見一侯去
預賽	以開三魚去 心開一咍去
預配	以開三魚去 滂一灰去
頑劣	疑合二刪平 來合三仙入
頑匪	疑合二刪平 幫三C微上
頑固	疑合二刪平 見一模去
頑強	疑合二刪平 羣開三C陽平
頑梗	疑合二刪平 見開二庚上
頑民	疑合二刪平 明三A真平
頑疾	疑合二刪平 從開三真入
頑皮	疑合二刪平 並三B支平
頑童	疑合二刪平 定一東平
頑鈍	疑合二刪平 定合一魂去
頓悟	端合一魂去 疑一模去
頓挫	端合一魂去 精合一歌去
頓時	端合一魂去 常開三之平
頓河	端合一魂去 匣開一歌平
頓然	端合一魂去 日開三仙平
領主	來開三清上 章合三虞上
領到	來開三清上 端開一豪去
領受	來開三清上 常三尤上
領口	來開三清上 溪一侯上
領命	來開三清上 明三B庚去
領唱	來開三清上 昌開三陽去
領地	來開三清上 定開四脂去
領域	來開三清上 云合三B蒸入
領子	來開三清上 精開三之上
領導	來開三清上 定開一豪去
領工	來開三清上 見一東平
領巾	來開三清上 見開三B真平
領帶	來開三清上 端開一泰去
領悟	來開三清上 疑一模去
領情	來開三清上 從開三清平
領有	來開三清上 云三C尤上
領海	來開三清上 曉開一咍上
領獎	來開三清上 精開三陽上
領班	來開三清上 幫二刪平
領略	來開三清上 來開三陽入
領空	來開三清上 溪一東平
領章	來開三清上 章開三陽平
領結	來開三清上 見開四先入
領罪	來開三清上 從合一灰上
領航	來開三清上 匣開一唐平
領英	來開三清上 影開三B庚平
領袖	來開三清上 邪三尤去
領諾	來開三清上 泥開一唐入
領證	來開三清上 章開三蒸去
領跑	來開三清上 滂二肴上
領路	來開三清上 來一模去
領軍	來開三清上 見合三C文平
領釦	來開三清上 溪一侯上
領銜	來開三清上 匣開二銜平
領隊	來開三清上 定合一灰去
領頭	來開三清上 定一侯平
領館	來開三清上 見合一寒去
頤指	以開三之平 章開三脂上
頭一	定一侯平 影開三A真入
頭七	定一侯平 清開三真入
頭上	定一侯平 常開三陽去
頭份	定一侯平 幫三B真平
頭位	定一侯平 云合三B脂去
頭像	定一侯平 邪開三陽上
頭兒	定一侯平 日開三支平
頭兜	定一侯平 端一侯平
頭功	定一侯平 見一東平
頭午	定一侯平 疑一模上
頭名	定一侯平 明三A清平
頭回	定一侯平 匣合一灰平
頭城	定一侯平 常開三清平
頭子	定一侯平 精開三之上
頭家	定一侯平 見開二麻平
頭寸	定一侯平 清合一魂去
頭屋	定一侯平 影一東入
頭巾	定一侯平 見開三B真平
頭座	定一侯平 從合一歌去
頭彩	定一侯平 清開一咍上
頭擋	定一侯平 端開一唐去
頭昏	定一侯平 曉合一魂平
頭晚	定一侯平 明三C元上
頭暈	定一侯平 云合三C文去
頭條	定一侯平 定開四蕭平
頭款	定一侯平 溪合一寒上
頭版	定一侯平 幫二刪上
頭獎	定一侯平 精開三陽上
頭疼	定一侯平 定一冬平
頭痛	定一侯平 透一東去
頭癬	定一侯平 心開三仙上
頭皮	定一侯平 並三B支平
頭盔	定一侯平 溪合一灰平
頭目	定一侯平 明三C東入
頭等	定一侯平 端開一登上
頭箍	定一侯平 見一模平
頭紗	定一侯平 生開二麻平
頭緒	定一侯平 邪開三魚上
頭繩	定一侯平 船開三蒸平
頭罩	定一侯平 知開二肴去
頭羊	定一侯平 以開三陽平
頭脹	定一侯平 知開三陽去
頭腦	定一侯平 泥開一豪上
頭蝨	定一侯平 生開三臻入
頭角	定一侯平 見二江入
頭路	定一侯平 來一模去
頭道	定一侯平 定開一豪上
頭里	定一侯平 來開三之上
頭銜	定一侯平 匣開二銜平
頭陀	定一侯平 定開一歌平
頭面	定一侯平 明三A仙去
頭頂	定一侯平 端開四青上
頭領	定一侯平 來開三清上
頭頭	定一侯平 定一侯平
頭頸	定一侯平 見開三A清上
頭顱	定一侯平 來一模平
頭飾	定一侯平 書開三蒸入
頭香	定一侯平 曉開三C陽平
頭骨	定一侯平 見合一魂入
頭髮	定一侯平 幫三C元入
頸子	見開三A清上 精開三之上
頸椎	見開三A清上 澄合三脂平
頸項	見開三A清上 匣二江上
頻仍	並三A真平 日開三蒸平
頻寬	並三A真平 溪合一寒平
頻帶	並三A真平 端開一泰去
頻次	並三A真平 清開三脂去
頻段	並三A真平 定合一寒去
頻譜	並三A真平 幫一模上
頻道	並三A真平 定開一豪上
頻頻	並三A真平 並三A真平
顆粒	溪合一歌上 來開三侵入
額吉	疑開二庚入 見開三A真入
額外	疑開二庚入 疑合一泰去
額敏	疑開二庚入 明三B真上
額竇	疑開二庚入 定一侯去
額角	疑開二庚入 見二江入
額頭	疑開二庚入 定一侯平
額骨	疑開二庚入 見合一魂入
顎裂	疑開一唐入 來開三仙入
顏值	疑開二刪平 澄開三之去
顏回	疑開二刪平 匣合一灰平
顏淵	疑開二刪平 影合四先平
顏色	疑開二刪平 生開三蒸入
顏面	疑開二刪平 明三A仙去
顏體	疑開二刪平 透開四齊上
顓頊	章合三仙平 曉三C鍾入
願心	疑合三C元去 心開三侵平
願意	疑合三C元去 影開三C之去
願景	疑合三C元去 見開三B庚上
類似	來合三脂去 邪開三之上
類別	來合三脂去 並三B仙入
類型	來合三脂去 匣開四青平
類書	來合三脂去 書開三魚平
類目	來合三脂去 明三C東入
類篇	來合三脂去 滂三A仙平
顧全	見一模去 從合三仙平
顧及	見一模去 羣開三B侵入
顧問	見一模去 明三C文去
顧客	見一模去 溪開二庚入
顧家	見一模去 見開二麻平
顧忌	見一模去 羣開三C之去
顧念	見一模去 泥開四添去
顧惜	見一模去 心開三清入
顧慮	見一模去 來開三魚去
顧盼	見一模去 滂二山去
顫動	章開三仙去 定一東上
顫巍	章開三仙去 疑合三C微平
顫慄	章開三仙去 來開三真入
顫抖	章開三仙去 端一侯上
顫聲	章開三仙去 書開三清平
顫音	章開三仙去 影開三B侵平
顯像	曉開四先上 邪開三陽上
顯學	曉開四先上 匣二江入
顯宦	曉開四先上 匣合二刪去
顯弄	曉開四先上 來一東去
顯形	曉開四先上 匣開四青平
顯影	曉開四先上 影開三B庚上
顯得	曉開四先上 端開一登入
顯微	曉開四先上 明三C微平
顯性	曉開四先上 心開三清去
顯懷	曉開四先上 匣合二皆平
顯揚	曉開四先上 以開三陽平
顯擺	曉開四先上 幫二佳上
顯效	曉開四先上 匣開二肴去
顯明	曉開四先上 明三B庚平
顯晦	曉開四先上 曉合一灰去
顯晶	曉開四先上 精開三清平
顯然	曉開四先上 日開三仙平
顯現	曉開四先上 匣開四先去
顯白	曉開四先上 並二庚入
顯目	曉開四先上 明三C東入
顯眼	曉開四先上 疑開二山上
顯祖	曉開四先上 精一模上
顯耀	曉開四先上 以開三宵去
顯老	曉開四先上 來開一豪上
顯考	曉開四先上 溪開一豪上
顯職	曉開四先上 章開三蒸入
顯豁	曉開四先上 曉合一寒入
顯貴	曉開四先上 見合三C微去
顯赫	曉開四先上 曉開二庚入
顯鏡	曉開四先上 見開三B庚去
顯露	曉開四先上 來一模去
顰眉	並三A真平 明三B脂平
顱底	來一模平 端開四齊上
顱骨	來一模平 見合一魂入
顳顬	日開三鹽入 日合三虞平
顳骨	日開三鹽入 見合一魂入
顴弓	羣合三B仙平 見三C東平
顴骨	羣合三B仙平 見合一魂入
颭颭	章開三鹽上 章開三鹽上
颯然	心開一覃入 日開三仙平
颯爽	心開一覃入 生開三陽上
颯颯	心開一覃入 心開一覃入
飛刀	幫三C微平 端開一豪平
飛升	幫三C微平 書開三蒸平
飛吻	幫三C微平 明三C文上
飛地	幫三C微平 定開四脂去
飛天	幫三C微平 透開四先平
飛征	幫三C微平 章開三清平
飛快	幫三C微平 溪合二夬去
飛揚	幫三C微平 以開三陽平
飛昇	幫三C微平 書開三蒸平
飛機	幫三C微平 見開三C微平
飛沫	幫三C微平 明一寒入
飛盤	幫三C微平 並一寒平
飛禽	幫三C微平 羣開三B侵平
飛秒	幫三C微平 明三A宵上
飛紅	幫三C微平 匣一東平
飛翔	幫三C微平 邪開三陽平
飛腿	幫三C微平 透合一灰上
飛舞	幫三C微平 明三C虞上
飛舟	幫三C微平 章三尤平
飛船	幫三C微平 船合三仙平
飛艇	幫三C微平 定開四青上
飛賊	幫三C微平 從開一登入
飛跑	幫三C微平 滂二肴上
飛躍	幫三C微平 以開三陽入
飛身	幫三C微平 書開三真平
飛輪	幫三C微平 來合三真平
飛逝	幫三C微平 常開三祭去
飛速	幫三C微平 心一東入
飛鏢	幫三C微平 滂三A宵平
飛雪	幫三C微平 心合三仙入
飛馬	幫三C微平 明二麻上
飛馳	幫三C微平 澄開三支平
飛魚	幫三C微平 疑開三C魚平
飛鳥	幫三C微平 端開四蕭上
飛鴿	幫三C微平 見開一覃入
飛鷹	幫三C微平 影開三C蒸平
飛鼠	幫三C微平 書開三魚上
飛龍	幫三C微平 來三鍾平
飢餓	見開三B脂平 疑開一歌去
飴糖	以開三之平 定開一唐平
飼育	邪開三之去 以三東入
飼草	邪開三之去 清開一豪上
飽受	幫二肴上 常三尤上
飽含	幫二肴上 匣開一覃平
飽嘗	幫二肴上 常開三陽平
飽學	幫二肴上 匣二江入
飽滿	幫二肴上 明一寒上
飽綻	幫二肴上 澄開二山去
飽覽	幫二肴上 來開一談上
飽讀	幫二肴上 定一東入
飽餐	幫二肴上 清開一寒平
飾品	書開三蒸入 滂三B侵上
飾巾	書開三蒸入 見開三B真平
飾帶	書開三蒸入 端開一泰去
飾演	書開三蒸入 以開三仙上
飾物	書開三蒸入 明三C文入
飾詞	書開三蒸入 邪開三之平
飾邊	書開三蒸入 幫四先平
飾面	書開三蒸入 明三A仙去
餅圖	幫三A清上 定一模平
餅子	幫三A清上 精開三之上
餅屋	幫三A清上 影一東入
餅肥	幫三A清上 並三C微平
餅餌	幫三A清上 日開三之去
餌子	日開三之去 精開三之上
餌敵	日開三之去 定開四青入
餌絲	日開三之去 心開三之平
餌線	日開三之去 心開三仙去
餌誘	日開三之去 以三尤上
餌雷	日開三之去 來合一灰平
餐具	清開一寒平 羣合三C虞去
餐刀	清開一寒平 端開一豪平
餐室	清開一寒平 書開三真入
餐巾	清開一寒平 見開三B真平
餐廳	清開一寒平 透開四青平
餐桌	清開一寒平 知二江入
餐館	清開一寒平 見合一寒去
餐點	清開一寒平 端開四添上
餑餑	並一魂入 並一魂入
餓死	疑開一歌去 心開三脂上
餓鬼	疑開一歌去 見合三C微上
餘光	以開三魚平 見合一唐平
餘割	以開三魚平 見開一寒入
餘力	以開三魚平 來開三蒸入
餘地	以開三魚平 定開四脂去
餘姚	以開三魚平 以開三宵平
餘存	以開三魚平 從合一魂平
餘干	以開三魚平 見開一寒平
餘年	以開三魚平 泥開四先平
餘弦	以開三魚平 匣開四先平
餘弧	以開三魚平 匣一模平
餘悸	以開三魚平 羣合三A脂去
餘慶	以開三魚平 溪開三B庚去
餘暉	以開三魚平 曉合三C微平
餘杭	以開三魚平 匣開一唐平
餘江	以開三魚平 見二江平
餘波	以開三魚平 幫一歌平
餘熱	以開三魚平 日開三仙入
餘燼	以開三魚平 從開三真去
餘皇	以開三魚平 匣合一唐平
餘碼	以開三魚平 明二麻上
餘糧	以開三魚平 來開三陽平
餘緒	以開三魚平 邪開三魚上
餘者	以開三魚平 章開三麻上
餘角	以開三魚平 見二江入
餘輝	以開三魚平 曉合三C微平
餘集	以開三魚平 從開三侵入
餘震	以開三魚平 章開三真去
餘音	以開三魚平 影開三B侵平
餘韻	以開三魚平 云合三C文去
餘項	以開三魚平 匣二江上
餘額	以開三魚平 疑開二庚入
餘黨	以開三魚平 端開一唐上
餛飩	匣合一魂平 定合一魂平
館地	見合一寒去 定開四脂去
館子	見合一寒去 精開三之上
餬口	匣一模平 溪一侯上
饅頭	明一寒平 定一侯平
饊子	心開一寒上 精開三之上
饋贈	羣合三B脂去 從開一登去
饋送	羣合三B脂去 心一東去
饔飧	影三C鍾平 心合一魂平
饔餼	影三C鍾平 曉開三C微去
饕客	透開一豪平 溪開二庚入
饕餮	透開一豪平 透開四先入
饗客	曉開三C陽上 溪開二庚入
饞人	崇開二咸平 日開三真平
饞癆	崇開二咸平 來開一豪去
饞鬼	崇開二咸平 見合三C微上
香几	曉開三C陽平 見開三B脂上
香包	曉開三C陽平 幫二肴平
香吻	曉開三C陽平 明三C文上
香味	曉開三C陽平 明三C微去
香囊	曉開三C陽平 泥開一唐平
香客	曉開三C陽平 溪開二庚入
香木	曉開三C陽平 明一東入
香桂	曉開三C陽平 見合四齊去
香案	曉開三C陽平 影開一寒去
香椿	曉開三C陽平 徹合三真平
香檳	曉開三C陽平 幫三A真平
香櫞	曉開三C陽平 以合三仙平
香水	曉開三C陽平 書合三脂上
香河	曉開三C陽平 匣開一歌平
香油	曉開三C陽平 以三尤平
香波	曉開三C陽平 幫一歌平
香洲	曉開三C陽平 章三尤平
香液	曉開三C陽平 以開三清入
香港	曉開三C陽平 見二江上
香火	曉開三C陽平 曉合一歌上
香煙	曉開三C陽平 影開四先平
香燭	曉開三C陽平 章三鍾入
香燻	曉開三C陽平 曉合三C文平
香爐	曉開三C陽平 來一模平
香片	曉開三C陽平 滂四先去
香瓜	曉開三C陽平 見合二麻平
香甜	曉開三C陽平 定開四添平
香粉	曉開三C陽平 幫三C文上
香精	曉開三C陽平 精開三清平
香肉	曉開三C陽平 日三東入
香脂	曉開三C陽平 章開三脂平
香腸	曉開三C陽平 澄開三陽平
香花	曉開三C陽平 曉合二麻平
香茅	曉開三C陽平 明二肴平
香草	曉開三C陽平 清開一豪上
香荽	曉開三C陽平 心合三脂平
香菜	曉開三C陽平 清開一咍去
香菰	曉開三C陽平 見一模平
香蒲	曉開三C陽平 並一模平
香蕈	曉開三C陽平 從開三侵上
香蕉	曉開三C陽平 精開三宵平
香薰	曉開三C陽平 曉合三C文平
香酥	曉開三C陽平 心一模平
香醇	曉開三C陽平 常合三真平
香醋	曉開三C陽平 清一模去
香閨	曉開三C陽平 見合四齊平
香附	曉開三C陽平 並三C虞去
香鼬	曉開三C陽平 以三尤去
馨香	曉開四青平 曉開三C陽平
馬來	明二麻上 來開一咍平
馬克	明二麻上 溪開一登入
馬公	明二麻上 見一東平
馬具	明二麻上 羣合三C虞去
馬刀	明二麻上 端開一豪平
馬利	明二麻上 來開三脂去
馬力	明二麻上 來開三蒸入
馬勒	明二麻上 來開一登入
馬匹	明二麻上 滂三A真入
馬國	明二麻上 見合一登入
馬太	明二麻上 透開一泰去
馬子	明二麻上 精開三之上
馬尾	明二麻上 明三C微上
馬屁	明二麻上 滂三A脂去
馬山	明二麻上 生開二山平
馬幫	明二麻上 幫一唐平
馬年	明二麻上 泥開四先平
馬店	明二麻上 端開四添去
馬拉	明二麻上 來開一覃入
馬村	明二麻上 清合一魂平
馬榮	明二麻上 云合三B庚平
馬槽	明二麻上 從開一豪平
馬步	明二麻上 並一模去
馬洛	明二麻上 來開一唐入
馬熊	明二麻上 云三C東平
馬燈	明二麻上 端開一登平
馬球	明二麻上 羣三C尤平
馬甲	明二麻上 見開二銜入
馬祖	明二麻上 精一模上
馬科	明二麻上 溪合一歌平
馬竿	明二麻上 見開一寒平
馬糊	明二麻上 匣一模平
馬腳	明二麻上 見開三C陽入
馬航	明二麻上 匣開一唐平
馬良	明二麻上 來開三陽平
馬芬	明二麻上 滂三C文平
馬莎	明二麻上 心合一歌平
馬蘭	明二麻上 來開一寒平
馬虎	明二麻上 曉一模上
馬蜂	明二麻上 滂三C鍾平
馬術	明二麻上 船合三真入
馬表	明二麻上 幫三B宵上
馬賊	明二麻上 從開一登入
馬賽	明二麻上 心開一咍去
馬赫	明二麻上 曉開二庚入
馬超	明二麻上 徹開三宵平
馬路	明二麻上 來一模去
馬蹄	明二麻上 定開四齊平
馬蹬	明二麻上 定開一登去
馬邊	明二麻上 幫四先平
馬里	明二麻上 來開三之上
馬銜	明二麻上 匣開二銜平
馬鐙	明二麻上 端開一登去
馬關	明二麻上 見合二刪平
馬陸	明二麻上 來三東入
馬隊	明二麻上 定合一灰去
馬雅	明二麻上 疑開二麻上
